protocol,from port, to port,cidr, description
tcp,22,22,10.49.128.60/32,PHL-DU-DOROY1_SSH
tcp,22,22,10.49.128.16/32,PHL-DU-DORDS1_SSH
tcp,22,22,10.50.1.214/32,PHL-ADMIN-RDS1_SSH
tcp,22,22,10.0.105.129/32,MFD-ADMIN-RDS1_SSH
tcp,22,22,10.1.0.148/32,MFD-PR-SEC-RDS1_SSH
tcp,22,22,10.50.1.172/32,PHL-PR-SEC-RDS1_SSH
-1,-1,-1,10.50.13.6/32,PHL-A1-VUN1_ANY
-1,-1,-1,10.49.128.19/32,PHL-DU-DOSOL1_ANY
-1,-1,-1,10.50.13.15/32,PHL-PR-SECVUN1_ANY
-1,-1,-1,10.50.13.16/32,PHL-PR-SECVUN2_ANY
-1,-1,-1,10.50.13.17/32,PHL-PR-SECVUN3_ANY
