protocol,from port, to port,cidr, description
tcp,3389,3389,10.49.128.60/32,PHL-DU-DOROY1_RDP
tcp,3389,3389,10.49.128.16/32,PHL-DU-DORDS1_RDP
tcp,3389,3389,10.50.1.214/32,PHL-ADMIN-RDS1_RDP
tcp,3389,3389,10.0.105.129/32,MFD-ADMIN-RDS1_RDP
tcp,3389,3389,10.1.0.148/32,MFD-PR-SEC-RDS1_RDP
tcp,3389,3389,10.50.1.172/32,PHL-PR-SEC-RDS1_RDP
-1,-1,-1,10.50.13.6/32,PHL-A1-VUN1_ANY
tcp,135,135,10.50.5.79/32,PHL-PR-SECQRWC1_SMB
tcp,445,445,10.50.5.79/32,PHL-PR-SECQRWC1_SMB
tcp,49152,65535,10.50.5.79/32,PHL-PR-SECQRWC1_RPC
tcp,10933,10933,10.50.1.55/32,PHL-A1-OCT1_TENTACLE
tcp,10933,10933,10.50.5.61/32,PHL-PR-OCT2_TENTACLE
tcp,10933,10933,10.50.5.115/32,PHL-PR-OCT3_TENTACLE
-1,-1,-1,10.50.13.15/32,PHL-PR-SECVUN1_ANY
-1,-1,-1,10.50.13.16/32,PHL-PR-SECVUN2_ANY
-1,-1,-1,10.50.13.17/32,PHL-PR-SECVUN3_ANY
-1,-1,-1,10.49.128.19/32,PHL-DU-DOSOL1_ANY
-1,-1,-1,10.49.128.40/32,PHL-DU-DOSOL2_ANY
-1,-1,-1,10.49.128.14/32,PHL-DU-DOSOL3_ANY
-1,-1,-1,10.49.128.78/32,PHL-DU-DOSOL4_ANY
-1,-1,-1,10.65.245.161/32,US1-DU-DOSOL1_ANY
-1,-1,-1,10.71.0.199/32,A01-DU-DOSOL1_ANY
